xtime(milli),GSR,Volt
1562.33,465,465
1563.78,464,464
1565.22,464,465
1566.67,464,465
1568.11,465,464
1569.56,464,464
1571.00,465,464
1572.45,464,465
1573.90,464,464
1575.34,465,465
1576.78,465,464
1578.23,464,465
1579.67,465,464
1581.12,465,464
1582.56,465,464
1584.01,465,465
1585.45,465,464
1586.90,465,464
1588.34,464,464
1589.79,464,465
1591.23,465,465
1592.68,464,465
1594.12,464,465
1595.57,464,464
1597.01,465,465
1598.46,464,465
1599.90,465,465
1601.35,464,464
1602.79,464,465
1604.24,465,465
1605.68,464,465
1607.13,464,464
1608.57,465,465
1610.02,464,464
1611.46,464,465
1612.91,464,464
1614.35,464,464
1615.80,464,465
1617.24,464,464
1618.69,465,465
1620.13,464,464
1621.58,464,465
1623.02,465,465
1624.47,464,465
1625.91,465,464
1627.36,464,465
1628.80,465,465
1630.25,465,465
1631.69,464,465
1633.14,464,464
1634.58,465,465
1636.03,465,465
1637.47,465,464
1638.92,464,464
1640.36,464,464
1641.81,464,465
1643.25,464,464
1644.70,465,464
1646.14,465,464
1647.59,464,464
1649.03,465,465
1650.48,465,464
1651.92,465,464
1653.37,465,465
1654.81,465,465
1656.26,464,464
1657.70,465,465
1659.15,464,464
1660.59,465,464
1662.04,465,464
1663.48,464,465
1664.93,464,464
1666.37,465,465
1667.82,465,464
1669.26,464,465
1670.71,465,464
1672.15,464,465
1673.60,464,464
1675.04,464,464
1676.49,465,465
1677.93,465,464
1679.38,464,465
1680.82,464,464
1682.27,464,465
1683.71,464,464
1685.16,464,464
1686.60,464,465
1688.05,464,464
1689.49,464,464
1690.94,464,464
1692.38,464,465
1693.83,465,465
1695.27,465,465
1696.72,464,464
1698.16,464,464
1699.61,464,465
1701.05,465,464
1702.50,464,465
1703.95,464,464
1705.39,465,465
1706.83,464,464
1708.28,464,465
1709.72,464,464
1711.17,464,464
1712.61,464,465
1714.06,464,465
1715.50,464,464
1716.95,464,464
1718.39,464,464
1719.84,465,465
1721.28,464,465
1722.73,464,464
1724.17,464,465
1725.62,465,464
1727.06,465,465
1728.51,465,465
1729.95,465,465
1731.40,464,464
1732.84,464,465
1734.29,465,465
1735.73,464,464
1737.18,464,464
1738.62,464,465
1740.07,465,464
1741.51,465,465
1742.96,464,464
1744.40,464,464
1745.85,464,464
1747.29,464,464
1748.74,464,464
1750.18,464,464
1751.63,464,464
1753.07,465,464
1754.52,465,464
1755.96,465,465
1757.41,464,464
1758.85,465,465
1760.30,465,464
1761.74,465,464
1763.19,464,465
1764.63,465,465
1766.08,464,464
1767.52,465,464
1768.97,464,464
1770.41,464,465
1771.86,465,464
1773.30,464,464
1774.75,465,465
1776.19,464,465
1777.64,464,465
1779.08,464,465
1780.53,465,464
1781.97,465,465
1783.42,464,464
1784.86,464,465
1786.31,465,464
1787.75,464,465
1789.20,466,464
1790.64,464,464
1792.09,465,465
1793.53,464,465
1794.98,464,464
1796.42,465,465
1797.87,464,464
1799.31,465,465
1800.76,464,464
1802.20,464,464
1803.65,465,465
1805.09,464,465
1806.54,464,465
1807.98,464,465
1809.43,465,464
1810.87,466,465
1812.32,465,464
1813.76,464,465
1815.21,464,465
1816.65,465,465
1818.10,464,465
1819.54,464,465
1820.99,465,464
1822.43,464,464
1823.88,464,464
1825.32,464,464
1826.77,465,464
1828.21,464,464
1829.66,465,464
1831.10,464,464
1832.55,464,465
1834.00,464,464
1835.44,464,464
1836.88,464,464
1838.33,464,464
1839.77,465,464
1841.22,464,465
1842.66,465,464
1844.11,465,464
1845.55,464,464
1847.00,464,464
1848.44,465,465
1849.89,464,465
1851.33,465,465
1852.78,464,464
1854.22,464,465
1855.67,464,464
1857.11,465,465
1858.56,465,464
1860.00,465,464
1861.45,464,464
1862.89,464,465
1864.34,464,465
1865.78,465,464
1867.23,465,465
1868.67,465,464
1870.12,464,464
1871.56,465,465
1873.01,464,465
1874.45,464,464
1875.90,464,465
1877.34,464,465
1878.79,464,465
1880.23,465,464
1881.68,465,464
1883.12,465,464
1884.57,464,465
1886.01,465,464
1887.46,465,464
1888.90,465,464
1890.35,465,464
1891.79,465,465
1893.24,464,464
1894.68,465,465
1896.13,465,465
1897.57,465,465
1899.02,464,464
1900.46,464,464
1901.91,465,465
1903.35,465,465
1904.80,465,465
1906.24,465,464
1907.69,464,464
1909.13,464,464
1910.58,464,465
1912.02,465,464
